Day,Time (approx),Lap, Position,hh:mm:ss,Driver
Saturday,9:00 AM,1,55,00:02:33.905,Yem
Saturday,9:02 AM,2,63,00:02:28.049,Yem
Saturday,9:05 AM,3,64,00:02:26.841,Yem
Saturday,9:07 AM,4,61,00:02:24.399,Yem
Saturday,9:09 AM,5,62,00:02:21.985,Yem
Saturday,9:12 AM,6,61,00:02:20.975,Yem
Saturday,9:14 AM,7,61,00:02:20.612,Yem
Saturday,9:16 AM,8,62,00:02:19.602,Yem
Saturday,9:19 AM,9,63,00:02:23.823,Yem
Saturday,9:21 AM,10,64,00:02:22.243,Yem
Saturday,9:24 AM,11,72,00:08:08.107,Pit
Saturday,9:32 AM,12,71,00:02:59.163,Wil
Saturday,9:35 AM,13,70,00:02:23.603,Wil
Saturday,9:37 AM,14,68,00:02:23.837,Wil
Saturday,9:39 AM,15,67,00:02:24.697,Wil
Saturday,9:42 AM,16,67,00:02:21.394,Wil
Saturday,9:44 AM,17,67,00:02:20.568,Wil
Saturday,9:47 AM,18,67,00:02:17.474,Wil
Saturday,9:49 AM,19,68,00:02:16.162,Wil
Saturday,9:51 AM,20,67,00:02:17.836,Wil
Saturday,9:53 AM,21,66,00:02:19.965,Wil
Saturday,9:56 AM,22,66,00:02:21.468,Wil
Saturday,9:58 AM,23,69,00:07:16.615,Pit
Saturday,10:05 AM,24,69,00:03:39.808,Mul
Saturday,10:09 AM,25,67,00:02:46.894,Mul
Saturday,10:12 AM,26,68,00:02:49.426,Mul
Saturday,10:15 AM,27,68,00:02:43.366,Mul
Saturday,10:17 AM,28,68,00:02:45.240,Mul
Saturday,10:20 AM,29,66,00:03:58.327,Mul
Saturday,10:24 AM,30,66,00:03:25.426,Mul
Saturday,10:28 AM,31,66,00:02:42.480,Mul
Saturday,10:30 AM,32,65,00:02:36.273,Mul
Saturday,10:33 AM,33,65,00:02:29.405,Mul
Saturday,10:35 AM,34,63,00:06:31.384,Pit
Saturday,10:42 AM,35,61,00:03:08.286,Cul
Saturday,10:45 AM,36,61,00:03:11.201,Cul
Saturday,10:48 AM,37,61,00:02:20.080,Cul
Saturday,10:51 AM,38,61,00:02:21.057,Cul
Saturday,10:53 AM,39,61,00:02:18.752,Cul
Saturday,10:55 AM,40,61,00:02:20.367,Cul
Saturday,10:58 AM,41,60,00:02:17.424,Cul
Saturday,11:00 AM,42,60,00:02:18.596,Cul
Saturday,11:02 AM,43,60,00:02:23.881,Cul
Saturday,11:05 AM,44,60,00:02:19.342,Cul
Saturday,11:07 AM,45,59,00:02:19.290,Cul
Saturday,11:09 AM,46,58,00:02:17.087,Cul
Saturday,11:11 AM,47,58,00:02:17.433,Cul
Saturday,11:14 AM,48,56,00:02:17.801,Cul
Saturday,11:16 AM,49,56,00:02:18.637,Cul
Saturday,11:18 AM,50,57,00:07:21.083,Pit
Saturday,11:26 AM,51,56,00:03:59.028,Tre
Saturday,11:30 AM,52,55,00:02:28.905,Tre
Saturday,11:32 AM,53,56,00:02:22.653,Tre
Saturday,11:35 AM,54,54,00:02:25.691,Tre
Saturday,11:37 AM,55,53,00:02:33.327,Tre
Saturday,11:40 AM,56,53,00:02:25.263,Tre
Saturday,11:42 AM,57,53,00:02:26.920,Tre
Saturday,11:44 AM,58,53,00:02:24.596,Tre
Saturday,11:47 AM,59,53,00:02:24.495,Tre
Saturday,11:49 AM,60,53,00:02:25.075,Tre
Saturday,11:52 AM,61,53,00:02:24.605,Tre
Saturday,11:54 AM,62,53,00:02:23.305,Tre
Saturday,11:56 AM,63,53,00:02:21.181,Tre
Saturday,11:59 AM,64,53,00:02:28.377,Tre
Saturday,12:01 PM,65,53,00:02:28.237,Tre
Saturday,12:04 PM,66,52,00:02:20.155,Tre
Saturday,12:06 PM,67,60,00:39:25.606,Pit
Saturday,12:45 PM,68,60,00:03:08.474,Yem
Saturday,12:49 PM,69,60,00:02:26.066,Yem
Saturday,12:51 PM,70,59,00:02:24.997,Yem
Saturday,12:53 PM,71,59,00:03:15.862,Yem
